rank,r1_quota,r1_institute,r1_course,r1_remarks,r2_quota,r2_institute,r2_course,r2_remarks,r3_quota,r3_institute,r3_course,r3_alloted_category,r3_candidate_category,r3_option_no,r3_remarks
6678,7963,All India,GUNTUR MEDICAL COLLEGE,M.S. (GENERAL SURGERY),Not Reported,All India,Rangaraya Medical College,M.S. (GENERAL SURGERY),Reported,All India,"Andhra Medical College, Andhra Medical College, Andhra Pradesh, 530002",M.S. (GENERA L SURGER Y),OBC,OBC,74
6679,7965,-,-,-,-,All India,SWAMI RAMANAND TEERTH RURAL GOVERNMENT MEDICAL COLLEGE AMBAJOGAI,M.D. (Obst. and Gynae)/MS (Obstetrics and Gynaecology),Reported,All India,"DR. SHANKA RRAO CHAVAN GOVER NMENT MEDICA L COLLEG E, NANDED ,DR. SHANKA RRAO CHAVAN GOVER NMENT MEDICA L COLLEG E, VISHNU PURI, NANDED , Maharas htra, 431606",M.D. (Obst. and Gynae)/M S (Obstetric s and Gynaecolo gy),OBC,OBC,7
6680,7967,DNB Quota,"Jagjivan Ram Railway Hospital,",(NBEMS) GENERAL SURGERY,Not Reported,All India,"Govt. Medical College, Bhavnagar",M.S. (GENERAL SURGERY),Seat Surrende red,All India,"Govt. Medical College, Baroda, Govt. Medical College, Baroda, Gujarat, 390001",M.S. (ORTHOP AEDICS),Open,General,29
6681,7970,-,-,-,-,DNB Quota,"Government Head Quarters Hospital,",(NBEMS) GENERAL MEDICINE,Reported,DNB Quota,"Governm ent Head Quarters Hospital, ,NO 1 RAMAM OORTH Y ROAD VIRUDH UNAGA R, Tamil Nadu, 626001",(NBEMS) GENERAL MEDICIN E,Open,OBC,36
6682,7971,All India,"Dr Ram Manohar Lohia Institute of Medical Sciences, Lucknow",M.S. (E.N.T.),Reported,DNB Quota,"Dr. Baba Saheb Ambedkar Hospital,",(NBEMS) Obstetrics and Gynaecology,Reported,-,-,-,-,-,-
6683,7972,DNB Quota,"YATHARTH SUPER SPECIALTY HOSPITALS, Uttar Pradesh",(NBEMS) GENERAL MEDICINE,Reported,DNB Quota,"Eternal Heart Care Centre and Research Institute,",(NBEMS) GENERAL MEDICINE,Reported,-,-,-,-,-,-
6684,7973,-,-,-,-,-,-,-,-,All India,"Karnatak a Institute of Medical Sciences , Hubballi, Karnatak a Institute of Medical Sciences , Hubballi, Karnatak a, 580021",M.S. (GENERA L SURGER Y),Open,General,195
6685,7974,-,-,-,-,All India,"Government Medical College, Latur",M.S. (GENERAL SURGERY),Reported,All India,"Governm ent Medical College, Miraj,Go vernment Medical College, Miraj, Maharas htra, 416410",M.S. (GENERA L SURGER Y),Open,General,8
6686,7975,All India,"PATNA MEDICAL COLLEGE, PATNA",M.D. (Tuberculosis and Respiratory diseases)/Pulmo nary Medicine /M.D. (Respiratory Medicine),Not Reported,All India,"JAWAHARLAL NEHRU MEDICAL COLLEGE, BHAGALPUR",M.D. (PAEDIATRICS),Not Reported,-,-,-,-,-,-
6687,7976,DNB Quota,"GMERS Medical College and General Hospital ,",(NBEMS- DIPLOMA) RADIO- DIAGNOSIS,Not Reported,-,-,-,-,All India,"Govt. Medical College, Baroda, Govt. Medical College, Baroda, Gujarat, 390001",M.D. (ANAEST HESIOLO GY),Open,EWS,20
6688,7977,-,-,-,-,All India,"Sawai Man Singh Medical College, JAIPUR",M.D. (Tuberculosis and Respiratory diseases)/Pulmo nary Medicine /M.D. (Respiratory Medicine),Reported,-,-,-,-,-,-
6689,7978,All India,"S.V. Medical College, Tirupathi",M.D. (GENERAL MEDICINE),Reported,All India,Kakatiya Medical College,M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-
6690,7979,All India,GUNTUR MEDICAL COLLEGE,M.S. (GENERAL SURGERY),Not Reported,-,-,-,-,-,-,-,-,-,-
6691,7981,-,-,-,-,DNB Quota,"The Calcutta Medical Research Institute,",(NBEMS) GENERAL MEDICINE,Not Reported,-,-,-,-,-,-
6692,7982,All India,Govt. Bundelkhand Medical College Sagar M.P.,M.S. (ORTHOPAEDIC S),Not Reported,All India,SHYAM SHAH MEDICAL COLLEGE,M.S. (ORTHOPAEDIC S),Not Reported,-,-,-,-,-,-
6693,7983,All India,"S.V. Medical College, Tirupathi",M.D. (GENERAL MEDICINE),Reported,-,-,-,-,-,-,-,-,-,-
6694,7984,DNB Quota,"Sparsh Super Specialty Hospital,",(NBEMS) GENERAL MEDICINE,Reported,-,-,-,-,-,-,-,-,-,-
